SECTOR,DATE,FACT,Value,Location,SOURCE,TAGS,Link
Registration,11/28/2012,Total registered Syrian refugees,"100,726",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,11/29/2012,Total registered Syrian refugees,"102,369",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,11/30/2012,Total registered Syrian refugees,"103,160",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/3/2012,Total registered Syrian refugees,"104,583",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/4/2012,Total registered Syrian refugees,"106,130",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/5/2012,Total registered Syrian refugees,"107,506",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/6/2012,Total registered Syrian refugees,"109,081",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/7/2012,Total registered Syrian refugees,"110,236",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/10/2012,Total registered Syrian refugees,"111,865",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/11/2012,Total registered Syrian refugees,"113,545",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/12/2012,Total registered Syrian refugees,"115,212",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/13/2012,Total registered Syrian refugees,"116,686",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/14/2012,Total registered Syrian refugees,"118,020",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/18/2012,Total registered Syrian refugees,"119,596",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/19/2012,Total registered Syrian refugees,"120,989",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/20/2012,Total registered Syrian refugees,"122,366",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/24/2012,Total registered Syrian refugees,"123,224",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/26/2012,Total registered Syrian refugees,"124,945",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/27/2012,Total registered Syrian refugees,"126,724",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/28/2012,Total registered Syrian refugees,"128,314",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,12/31/2012,Total registered Syrian refugees,"129,106",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/2/2013,Total registered Syrian refugees,"130,799",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/3/2013,Total registered Syrian refugees,"132,354",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/4/2013,Total registered Syrian refugees,"133,876",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/7/2013,Total registered Syrian refugees,"135,361",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/8/2013,Total registered Syrian refugees,"137,065",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/9/2013,Total registered Syrian refugees,"138,213",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/10/2013,Total registered Syrian refugees,"139,275",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/11/2013,Total registered Syrian refugees,"140,650",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/14/2013,Total registered Syrian refugees,"142,360",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/15/2013,Total registered Syrian refugees,"143,898",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/16/2013,Total registered Syrian refugees,"145,689",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/17/2013,Total registered Syrian refugees,"147,658",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/18/2013,Total registered Syrian refugees,"149,606",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/21/2013,Total registered Syrian refugees,"151,602",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/22/2013,Total registered Syrian refugees,"153,505",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/23/2013,Total registered Syrian refugees,"155,390",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/25/2013,Total registered Syrian refugees,"157,139",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/28/2013,Total registered Syrian refugees,"158,973",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/29/2013,Total registered Syrian refugees,"161,067",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/30/2013,Total registered Syrian refugees,"163,036",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,1/31/2013,Total registered Syrian refugees,"165,003",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/1/2013,Total registered Syrian refugees,"166,173",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/4/2013,Total registered Syrian refugees,"168,092",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/5/2013,Total registered Syrian refugees,"170,273",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/6/2013,Total registered Syrian refugees,"172,361",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/7/2013,Total registered Syrian refugees,"174,462",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/8/2013,Total registered Syrian refugees,"176,849",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/11/2013,Total registered Syrian refugees,"178,994",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/12/2013,Total registered Syrian refugees,"181,117",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/13/2013,Total registered Syrian refugees,"182,938",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/14/2013,Total registered Syrian refugees,"185,081",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/15/2013,Total registered Syrian refugees,"187,094",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/18/2013,Total registered Syrian refugees,"188,990",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/19/2013,Total registered Syrian refugees,"190,954",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/20/2013,Total registered Syrian refugees,"193,093",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/21/2013,Total registered Syrian refugees,"195,098",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/22/2013,Total registered Syrian refugees,"309,997",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/25/2013,Total registered Syrian refugees,"314,602",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/26/2013,Total registered Syrian refugees,"317,229",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/27/2013,Total registered Syrian refugees,"321,714",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,2/28/2013,Total registered Syrian refugees,"325,873",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/1/2013,Total registered Syrian refugees,"327,896",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/4/2013,Total registered Syrian refugees,"329,823",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/5/2013,Total registered Syrian refugees,"332,297",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/6/2013,Total registered Syrian refugees,"335,280",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/7/2013,Total registered Syrian refugees,"336,997",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/8/2013,Total registered Syrian refugees,"339,187",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/11/2013,Total registered Syrian refugees,"348,539",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/12/2013,Total registered Syrian refugees,"351,683",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/13/2013,Total registered Syrian refugees,"354,316",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/14/2013,Total registered Syrian refugees,"357,334",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/15/2013,Total registered Syrian refugees,"359,419",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/18/2013,Total registered Syrian refugees,"367,061",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/19/2013,Total registered Syrian refugees,"370,923",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/20/2013,Total registered Syrian refugees,"373,265",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/21/2013,Total registered Syrian refugees,"375,236",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/22/2013,Total registered Syrian refugees,"376,547",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/25/2013,Total registered Syrian refugees,"389,915",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/26/2013,Total registered Syrian refugees,"391,777",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/27/2013,Total registered Syrian refugees,"394,127",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/28/2013,Total registered Syrian refugees,"396,931",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,3/29/2013,Total registered Syrian refugees,"398,478",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/2/2013,Total registered Syrian refugees,"403,199",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/3/2013,Total registered Syrian refugees,"403,766",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/4/2013,Total registered Syrian refugees,"406,311",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/5/2013,Total registered Syrian refugees,"408,654",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/8/2013,Total registered Syrian refugees,"412,483",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/9/2013,Total registered Syrian refugees,"412,663",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/10/2013,Total registered Syrian refugees,"414,781",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/11/2013,Total registered Syrian refugees,"416,623",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/12/2013,Total registered Syrian refugees,"417,827",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/15/2013,Total registered Syrian refugees,"421,632",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/16/2013,Total registered Syrian refugees,"424,141",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/17/2013,Total registered Syrian refugees,"425,995",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/18/2013,Total registered Syrian refugees,"428,649",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/20/2013,Total registered Syrian refugees,"431,110",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/22/2013,Total registered Syrian refugees,"433,467",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/23/2013,Total registered Syrian refugees,"438,190",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/24/2013,Total registered Syrian refugees,"441,394",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/25/2013,Total registered Syrian refugees,"444,045",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/26/2013,Total registered Syrian refugees,"445,304",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/29/2013,Total registered Syrian refugees,"450,639",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,4/30/2013,Total registered Syrian refugees,"453,495",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/2/2013,Total registered Syrian refugees,"455,665",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/3/2013,Total registered Syrian refugees,"455,415",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/7/2013,Total registered Syrian refugees,"457,186",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/8/2013,Total registered Syrian refugees,"460,995",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/9/2013,Total registered Syrian refugees,"463,409",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/10/2013,Total registered Syrian refugees,"462,661",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/13/2013,Total registered Syrian refugees,"465,970",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/14/2013,Total registered Syrian refugees,"469,217",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/15/2013,Total registered Syrian refugees,"470,457",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/16/2013,Total registered Syrian refugees,"474,461",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/17/2013,Total registered Syrian refugees,"476,838",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/20/2013,Total registered Syrian refugees,"482,313",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/21/2013,Total registered Syrian refugees,"485,283",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/22/2013,Total registered Syrian refugees,"486,163",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/23/2013,Total registered Syrian refugees,"488,516",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/24/2013,Total registered Syrian refugees,"490,193",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/27/2013,Total registered Syrian refugees,"492,976",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/28/2013,Total registered Syrian refugees,"495,776",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/29/2013,Total registered Syrian refugees,"496,627",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/30/2013,Total registered Syrian refugees,"499,656",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,5/31/2013,Total registered Syrian refugees,"500,654",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/3/2013,Total registered Syrian refugees,"503,558",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/4/2013,Total registered Syrian refugees,"506,941",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/5/2013,Total registered Syrian refugees,"509,152",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/6/2013,Total registered Syrian refugees,"511,418",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/7/2013,Total registered Syrian refugees,"513,560",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/10/2013,Total registered Syrian refugees,"517,380",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/11/2013,Total registered Syrian refugees,"521,040",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/12/2013,Total registered Syrian refugees,"525,008",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/13/2013,Total registered Syrian refugees,"530,410",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/14/2013,Total registered Syrian refugees,"535,204",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/17/2013,Total registered Syrian refugees,"541,676",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/18/2013,Total registered Syrian refugees,"545,795",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/19/2013,Total registered Syrian refugees,"549,911",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/20/2013,Total registered Syrian refugees,"553,623",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/21/2013,Total registered Syrian refugees,"556,181",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/24/2013,Total registered Syrian refugees,"560,620",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/25/2013,Total registered Syrian refugees,"564,039",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/26/2013,Total registered Syrian refugees,"568,733",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/27/2013,Total registered Syrian refugees,"572,224",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,6/28/2013,Total registered Syrian refugees,"575,061",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/1/2013,Total registered Syrian refugees,"576,463",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/2/2013,Total registered Syrian refugees,"582,854",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/3/2013,Total registered Syrian refugees,"584,584",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/4/2013,Total registered Syrian refugees,"587,795",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/8/2013,Total registered Syrian refugees,"592,668",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/9/2013,Total registered Syrian refugees,"596,936",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/10/2013,Total registered Syrian refugees,"603,226",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/11/2013,Total registered Syrian refugees,"604,954",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/12/2013,Total registered Syrian refugees,"607,908",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/15/2013,Total registered Syrian refugees,"610,922",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/16/2013,Total registered Syrian refugees,"615,881",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/17/2013,Total registered Syrian refugees,"620,241",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/18/2013,Total registered Syrian refugees,"625,940",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/19/2013,Total registered Syrian refugees,"629,569",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/22/2013,Total registered Syrian refugees,"633,813",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/23/2013,Total registered Syrian refugees,"639,982",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/24/2013,Total registered Syrian refugees,"645,780",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/25/2013,Total registered Syrian refugees,"651,011",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/26/2013,Total registered Syrian refugees,"653,329",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/29/2013,Total registered Syrian refugees,"658,831",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/30/2013,Total registered Syrian refugees,"663,010",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,7/31/2013,Total registered Syrian refugees,"665,978",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/1/2013,Total registered Syrian refugees,"668,720",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/2/2013,Total registered Syrian refugees,"671,207",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/5/2013,Total registered Syrian refugees,"672,942",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/6/2013,Total registered Syrian refugees,"675,363",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/8/2013,Total registered Syrian refugees,"677,702",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/9/2013,Total registered Syrian refugees,"677,965",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/12/2013,Total registered Syrian refugees,"680,843",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/13/2013,Total registered Syrian refugees,"684,219",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/14/2013,Total registered Syrian refugees,"688,414",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/15/2013,Total registered Syrian refugees,"690,765",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/16/2013,Total registered Syrian refugees,"692,675",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/19/2013,Total registered Syrian refugees,"696,195",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/20/2013,Total registered Syrian refugees,"699,485",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/21/2013,Total registered Syrian refugees,"700,961",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/22/2013,Total registered Syrian refugees,"702,966",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/23/2013,Total registered Syrian refugees,"704,877",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/26/2013,Total registered Syrian refugees,"708,046",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/27/2013,Total registered Syrian refugees,"711,920",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/28/2013,Total registered Syrian refugees,"714,069",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/29/2013,Total registered Syrian refugees,"716,284",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,8/31/2013,Total registered Syrian refugees,"718,104",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/2/2013,Total registered Syrian refugees,"720,003",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/3/2013,Total registered Syrian refugees,"720,341",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/4/2013,Total registered Syrian refugees,"722,871",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/5/2013,Total registered Syrian refugees,"726,340",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/6/2013,Total registered Syrian refugees,"728,252",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/9/2013,Total registered Syrian refugees,"731,675",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
Registration,9/12/2013,Total registered Syrian refugees,"739,823",National,UNHCR refugee data,"UNHCR, Registration, Lebanon",
